Priorità (compila tu);Job Title;Quante volte appare;% sul totale
3;Owner;7002;18.7%
2;Managing Director;3689;9.9%
2;Manager;2020;5.4%
2;Director;1810;4.8%
2;General Manager;1079;2.9%
1;Sales Manager;1047;2.8%
3;Ceo;727;1.9%
3;President;701;1.9%
3;Founder;589;1.6%
1;Buyer;532;1.4%
1;Purchasing Manager;410;1.1%
1;Managing Partner;398;1.1%
3;Co-owner;375;1.0%
3;Sommelier;364;1.0%
1;Sales Representative;341;0.9%
2;Administrator;304;0.8%
3;Partner;302;0.8%
3;Co-founder;291;0.8%
2;In Charge;291;0.8%
1;Sales Director;273;0.7%
2;Operations Manager;252;0.7%
1;Commercial Director;251;0.7%
1;Sales;242;0.6%
2;Wine Merchant;226;0.6%
2;Representative;196;0.5%
3;Wine Consultant;192;0.5%
1;Commercial;180;0.5%
3;Brand Manager;177;0.5%
1;Commercial Manager;166;0.4%
2;Chief Executive Officer;164;0.4%
1;Wine Buyer;150;0.4%
3;Store Manager;149;0.4%
2;Account Manager;137;0.4%
3;Business Development Manager;128;0.3%
3;Category Manager;127;0.3%
3;Key Account Manager;114;0.3%
3;Wine Specialist;107;0.3%
1;Senior Buyer;98;0.3%
3;Vice President;98;0.3%
3;Sales Associate;93;0.2%
2;Executive Director;91;0.2%
3;President And Ceo;89;0.2%
1;Purchasing;87;0.2%
3;Sales Executive;86;0.2%
;Founder & Ceo;83;0.2%
;Management;82;0.2%
2;Business Owner;79;0.2%
2;Co-Founder;72;0.2%
1;Import Manager;71;0.2%
;Assistant Manager;70;0.2%
2;Representative Director;70;0.2%
1;Sales Consultant;69;0.2%
1;Regional Sales Manager;69;0.2%
2;General Director;69;0.2%
1;Product Manager;65;0.2%
2;Director Of Operations;61;0.2%
2;President & Ceo;61;0.2%
1;Area Sales Manager;59;0.2%
2;Wine Director;59;0.2%
1;Marketing Manager;57;0.2%
1;Purchasing Director;57;0.2%
1;Wine Manager;56;0.1%
2;Sales Specialist;54;0.1%
1;Purchaser;54;0.1%
2;Wine Sales Representative;53;0.1%
2;Director of Operations;53;0.1%
2;Procurement Manager;52;0.1%
2;Logistics Manager;52;0.1%
1;National Sales Manager;50;0.1%
2;Owner/ Manager;49;0.1%
2;Co-Owner;49;0.1%
3;Administrative;49;0.1%
1;Head Of Sales;43;0.1%
2;Operation Manager;43;0.1%
2;Senior Brand Manager;42;0.1%
1;Buying Manager;41;0.1%
1;Wine Sales Specialist;40;0.1%
2;Chief Operating Officer;40;0.1%
2;Regional Manager;39;0.1%
2;Sales Assistant;38;0.1%
3;Administrative Manager;38;0.1%
2;Sales Agent;38;0.1%
3;Brand Ambassador;37;0.1%
2;Ceo & Founder;37;0.1%
1;Director Of Sales;37;0.1%
2;Junior Buyer;36;0.1%
1;Wine Sales;35;0.1%
2;Portfolio Manager;35;0.1%
2;Area Manager;34;0.1%
1;Purchase Manager;32;0.1%
1;Director of Sales;32;0.1%
3;Administrative Assistant;31;0.1%
2;Senior Sales Manager;31;0.1%
1;Buying Director;30;0.1%
1;Head of Sales;29;0.1%
2;Founder And Ceo;29;0.1%
2;Business Manager;28;0.1%
1;General Sales Manager;28;0.1%
2;Managing Director/ Owner;27;0.1%
1;Wine Importer;27;0.1%
